paper_id,data_types,methods
10.1007_s00431-023-04988-0,"article search results, data extraction, manuscript writing, statistical analysis, study design, title and abstract screening","keyword search, PubMed, Embase, Google Scholar, full-text article screening, data extraction, study design, statistical analysis, interpretation of data, manuscript writing, manuscript editing."
10.1007_s10461-020-02962-7,"sociodemographic data, HIV screening and testing data, behavioral risk information, manually recorded data, standardized form data, database-entered data, secure password-protected database data, encrypted data","univariable analysis, multivariable logistic regression, stepwise multivariable logistic regression, Akaike information criterion for model selection, external validation"
10.1007_s10461-020-03068-w,"survey data, demographic variables, psychological distress","Descriptive statistics, bivariate analyses, Pearson's correlation coefficients, Point-biserial correlation tests, path analysis, maximum likelihood estimation, kurtosis and skewness tests."
10.1007_s10461-021-03158-3,"statistical data, demographic data, patient-level data, enrollment data, simulation data, confidence interval data, risk ratio data, risk difference data","Western Blot, rapid tests, regression analysis, g-formula, simulation modeling"
10.1007_s10461-024-04277-3,"survey data, publicly available anonymized data","multi-stage probability sampling design, descriptive statistics, logistic regressions"
10.1007_s10461-024-04280-8,"historical 2-year periods data, rainfall patterns data, satellite data, survey data","Review and approval by in-country ethics and regulatory bodies, institutional review boards, binary variable, sensitivity analyses, stratification by sex and rural/urban location, survey country, age, having received a secondary-level education or higher, whether they had ever been married, geographic analysis, census data, enumeration areas."
10.1007_s10461-024-04318-x,"patient-level data, demographic data, questionnaire data, participant data, de-identified data, code availability data","questionnaire assessment, statistical analysis"
10.1007_s10461-024-04358-3,"patient-level data, self-reported mental health symptoms or diagnosis, socio-economic class data, HIV-related stigma and discrimination data, demographic data (age, gender)","Research Electronic Data Capture (REDCap), Mini International Neuropsychiatric Interview (MINI), supervised on-site and remote supervision by principal investigator and mental health workers, back-up supervision by phone or written contact."
10.1007_s10461-024-04413-z,"participant home address data, environmental measures data, psychosocial-hazard scores, rates of violent crime, rates of shootings, rates of unemployment, rates of certain types of calls for service, household income, percentage of households below the poverty line, liquor store density, percentage of properties vacant or abandoned, data from Baltimore Neighborhood Indicator Alliance","statistical analyses, data curation, data collection, cleaning, open access funding, Creative Commons Attribution 4.0 International License"
10.1007_s10461-025-04630-0,"patient-level data, electronic health record (EHR) data, survey data, mixed effects model data, study data, REDCap electronic data capture tools data, SDOH data","correlation matrix, Proc Corr function, mixed effects model, linear mixed model analysis, retrospective review"
10.1017_S0950268822000103,"patient-level data, biomarker data, laboratory data, CD4 cell count data, CD8 cell count data, body mass index data, mean corpuscular volume data","median test, multivariate logistic regression model, written informed consent, axillary temperature measurement, digital thermometer, immuno-chromatographic rapid tests, thick blood smears, rapid diagnostic antigen tests, questionnaire administration, weighing scale, stadiometer, BMI computation."
10.1017_S0950268823000444,"Calls to a national telephone helpline, online symptom checker, GP consultations, ambulance dispatch calls, emergency department attendances, key syndrome national and regional trends, automated statistical outbreak detection algorithm, syndromic surveillance systems data.","laboratory reports, cluster analysis, scan statistics, differences-in-differences investigation tool (DiD IT), causal inference, epidemiology"
10.1038_s41598-020-62667-8,"socio-demographic characteristics, lifestyle variables, TB risk factors, residential postcodes, Office for National Statistics data, small-area indices of multiple deprivation (IMD), satellite data (none mentioned but implied as a type of data), patient-level data (none mentioned but implied as a type of data)","frequency-matching, regression analysis, data cleaning and management, fieldwork, data management"
10.1038_s41598-020-70472-6,"HIV test results, Xpert MTB/RIF Ultra assay results, categorical data, continuous variables, chi-square tests, Rank sum test, DNA fingerprinting","individual simple logistic regression analysis, chi-square tests, Rank sum test, multivariable analysis"
10.1038_s41598-020-73490-6,"house ownership data, availability of electricity in the house data, source of drinking water data, fuel used for cooking data, continuous data, standard deviations, means, medians, interquartile range data, categorical data, parity data, duration on treatment data, duration on ART use data, marital status data, employment status data, HIV status disclosure data, socioeconomic status data, type of contraceptive used data, antiretroviral treatment data","cross-sectional study, principal component analysis (PCA), data entry using EpiData software, statistical analyses in Stata version 14.0, sample size estimation using Stata version 14.0"
10.1038_s41598-021-85781-7,"tuberculosis surveillance data, meteorological data, quarterly GDP data, software usage data","surveillance data, meteorological data, quarterly GDP data, R: A Language and Environment for Statistical Computing"
10.1038_s41598-021-91198-z,"survey data, hemoglobin concentration data, travel time data, malaria data, HIV data","data analysis, regression analysis, statistical association"
10.1038_s41598-021-94289-z,"HIV prevalence data, R-scripts, literature values, DHS28 data","Compartmental models, Individual-based models (IBMs), Ensemble methods, Mathematical modeling, Simulation"
10.1038_s41598-021-95959-8,"individual-level data, survey data, household characteristics, satellite data","GAM, Principal component analysis (PCA), Spearman’s rank-order correlation test, regression spline function, empirical variograms, thin plate regression spline, restricted maximum likelihood (REML) method."
10.1038_s41598-021-96035-x,"birthweight data, rainfall data, household socioeconomic status scores, malaria infection data, dietary variables, physical activity level data, triglyceride levels, HDL levels, LDL levels, TC levels","study design, data generation, data management, data analysis, hierarchical modelling, regression analysis, linear regression models"
10.1038_s41598-021-99156-5,"daily mortality data, statistical relationships, country-specific data, socio-economic scenario, temperature and rainfall patterns, population data, income data, World Bank projections","ensemble of CMIP5 models, shared socioeconomic pathways (SSP) projections, extrapolation approach used in Gasparrini et al. 2017, model selection, regression analysis, SSP3"
10.1038_s41598-022-06012-1,"Remote sensing data, GIS data, Population data, Socioeconomic covariates, Satellite data, Soil data, Water and sanitation data","MODIS/Terra, SoilGrids250m, C3S, WorldPop, LBD, regression analysis (implied)"
10.1038_s41598-022-20550-8,"eligibility database, sociodemographic variables, health care utilization database, prescription records, long-term care insurance database, healthcare provider database, national health screening database, anonymized and de-identified data","statistical analysis, data curation, data interpretation, regression analysis, adjusted for variables in model 1 and model 2"
10.1038_s41598-024-60119-1,"patient-level data, survival analysis data, pill count data, socio-demographic characteristics data, HIV-related and clinical important variables data","Data extraction checklist, preliminary review, pill count, EpiData-3.3.1, Stata version 17, impuation method using R software, Kaplan Meier survival curve, regression analysis (Cox model), parametric models (Exponential, Weibull, Gamma, Log normal, Loglogistic)."
10.1038_s41598-024-67909-7,"socio-demographic data, household ecology data, dengue awareness data, incidence data, monthly income data, source information data, water accumulation spot data, presence of cooler data, number of people in the family data, estimated income data, occupation data, marital status data, education level data, race data, sex data, age data","penalized multivariable logistic regression, ethics approval, data analysis using IBM SPSS Statistics and STATA"
10.1038_s41598-024-71720-9,"permanent population data, quantitative data, epidemiological indicators, operational indicators, GDP, PGDP, NHI, NHT, NB, NPR, NPP, NMP, NGP, Y","Factor detection analysis, interaction detection analysis, descriptive statistics, regression analysis"
10.1038_s41598-024-78512-1,"household data, survey data, clinical data, demographic data","written informed consent, PCR-based test results, microscopy, rapid diagnostic tests, regression analysis, descriptive statistics."
10.1038_s41598-024-82101-7,"interview information, questionnaire data, sociodemographic data, clinical data, psychosocial data, depressive symptoms data, incidence rate data, mortality rate data","interviews, investigator-designed questionnaire, statistical analysis, χ 2 tests, t-tests, Mann–Whitney tests, conditional logistic regression"
10.1038_s41598-025-89298-1,"Riskesdas data, Village Survey (Podes) data, household expenditure, occupation, education level, self-reports of chronic diseases, smoking behaviour, alcohol use, physical activity","mixed methods, multi-site case study evaluation, Principal Component Analysis (PCA)"
10.1038_s41598-025-91999-6,"sex data, age data, education data, number of people living in the house data, residence place data, number of people who are working data, situation data, occupation data, average time spending out of home data, nights spending in working place data, hours pending out of home for walking data, hours spending in farm for working data, source of water supply data, sewage disposal system data, sleeping under mosquito net data, sleeping out of home data, using insecticide data, using insect replants data, type of windows data, using curtain in front of windows and doors data, material used to construct walls and roofs data, number of rooms data, number of people in bedroom data, distance of river from house data, distance of farms from house data, keeping pets in houses data, animals around the house data, distance of water sources from house data, kind of water supply data","Data collection was performed by a trained health worker and by interviewing, questionnaire consisted of following questions..."
10.1038_s41598-025-93476-6,"patient-level data, secondary retrospective data, epidemiological surveillance data, spatial data","conceptualization, methodology, formal analysis, investigation, data curation, writing—original draft preparation, writing—review and editing, supervision, project administration"
10.1136_bmj.m3389,"wildlife surveys, livestock surveys, human serological surveys, ecological knowledge, biological data, ecological data, social data, geographic features","study, analysis"
10.1136_bmjgh-2019-001729,"birth year data, age data, mothers' educational attainment data, biomarker collection data, microscopy test results","instrumental variable analysis, regression analysis, 2SLS, polynomial function, exploratory analysis, online supplementary figure S2"
10.1136_bmjgh-2020-003550,"self-reported data, postcode data, tax year data, study recruitment period data, IMD-2015 data, deciles of deprivation data, QFT-GIT test result data, T-Spot.TB test result data","self-reported data, Interferon-Gamma Release Assay (IGRA), complete case analysis approach, multivariable analysis, regression analysis"
